NOMEDEP;DE;MUN;CD_IBGE;DISTR;COD_ESC;CODESCMEC;NOMESC;CODSIT;TIPOESC;ENDESC;NUMESC;COMPLEMENTO;CEP;BAIESC;ZONA;DS_LATITUDE;DS_LONGITUDE;CODVINC
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;3500105;ADAMANTINA;30806;35030806;HELEN KELLER;1;8;MARIO OLIVERO;122;RUA;17800000;VILA CICMA;1;-21,69298935;-51,06887817;0
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;3500105;ADAMANTINA;31045;35031045;DURVALINO GRION PROF;1;8;NOEMIA RAMAZINI DE OLIVEIRA;36;RUA;17800000;VILA INDUSTRIAL;1;-21,67860031;-51,07690048;0
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;3500105;ADAMANTINA;31112;35031112;FLEURIDES CAVALLINI MENECHINO PROFA;1;8;VITORIO ROMANINI;99;RUA;17800000;VILA CICMA;1;-21,69277;-51,0703392;0
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;3500105;ADAMANTINA;985429;35985429;CEL JTO A EE FLEURIDES CAVALINI MENECHINO PROFA;1;6;VITORIO ROMANINI;99;RUA;17800000;VILA CICMA;1;-21,69190025;-51,07099915;31112
ESTADUAL - SE;ADAMANTINA;DRACENA;3514403;DRACENA;31252;35031252;JULIETA GUEDES MENDONCA PROFA;1;8;PRINCESA ISABEL;440;RUA;17900251;VILA BARROS;1;-21,49352646;-51,53807068;0
ESTADUAL - SE;ADAMANTINA;DRACENA;3514403;DRACENA;31264;35031264;9 DE JULHO;1;8;OITO DEZEMBRO;719;RUA;17911254;JARDIM VERA CRUZ;1;-21,48950386;-51,52497864;0
ESTADUAL - SE;ADAMANTINA;DRACENA;3514403;DRACENA;31276;35031276;ISAC PEREIRA GARCEZ ENG;1;8;VENDRAMIM;92;RUA;17900057;CENTRO;1;-21,48463058;-51,53142166;0
ESTADUAL - SE;ADAMANTINA;DRACENA;3514403;DRACENA;457899;35457899;PENITENCIARIA ASP ADRIANO APARECIDO DE PIERI DE DRACENA;1;15;ENGENHEIRO BYRON DE AZEVEDO NOGUEIRA;KM 09;VICINAL DRACENA OURO VERDE;17900900;JAMAICA;2;-21,49557304;-51,63319397;31252
ESTADUAL - SE;ADAMANTINA;DRACENA;3514403;DRACENA;458090;35458090;CEL JTO A EE ENGENHEIRO ISAC PEREIRA GARCEZ;1;6;VENDRAMIM;92;;17900000;;1;-21,48459053;-51,53144073;31276
ESTADUAL - SE;ADAMANTINA;DRACENA;3514403;DRACENA;911173;35911173;ALFREDO MACHADO;1;8;OTO LARA RESENDE;21;RUA;17904160;BAIRRO JARDIM BRASILANDIA;1;-21,49081039;-51,55389023;0
ESTADUAL - SE;ADAMANTINA;FLORA RICA;3515806;FLORA RICA;30995;35030995;GUILHERME BUZINARO PREFEITO;1;8;VEREADOR RAIMUNDO ANTONIO DE ARAUJO;416;AVENIDA;17870000;CENTRO;1;-21,67638206;-51,38249969;0
ESTADUAL - SE;ADAMANTINA;FLORIDA PAULISTA;3516002;FLORIDA PAULISTA;30910;35030910;PERCIO GOMES GONZALES DR;1;8;AUGUSTO ROQUE;1254;AVENIDA;17830000;CENTRO;1;-21,61310387;-51,1681366;0
ESTADUAL - SE;ADAMANTINA;FLORIDA PAULISTA;3516002;FLORIDA PAULISTA;455337;35455337;PENITENCIARIA AEVP CRISTIANO DE OLIVEIRA DE FLORIDA PAULISTA;1;15;KIICHIRO HATTORI;SN;KM 6;17830000;AGRELO;2;-21,66110039;-51,20587158;30910
ESTADUAL - SE;ADAMANTINA;INUBIA PAULISTA;3520806;INUBIA PAULISTA;31598;35031598;IRALDO ANTONIO MARTINS DE TOLEDO;1;8;PEDRO ANTONIO GOMES;502;RUA;17760000;CENTRO;1;-21,76921654;-50,96021652;0
ESTADUAL - SE;ADAMANTINA;IRAPURU;3521606;IRAPURU;30958;35030958;JOSE EDSON MOYSES PROF;1;8;ALBERTO GALETI;29;AVENIDA;17880000;CENTRO;1;-21,56727028;-51,35471725;0
ESTADUAL - SE;ADAMANTINA;IRAPURU;3521606;IRAPURU;354569;35354569;CENTRO DE ATENDIMENTO SOC EDUC AO ADOLESC IRAPURU I CIP;1;9;MUNICIPAL;3;IRV KM 6;17880000;PATURY;2;-21,52055508;-51,31761074;30958
ESTADUAL - SE;ADAMANTINA;IRAPURU;3521606;IRAPURU;354570;35354570;CENTRO DE ATENDIMENTO SOC EDUC AO ADOLESC IRAPURU II CI;1;34;MUNICIPAL;3;IRV KM 6;17880000;PATURY;2;-21,52063492;-51,31709576;30958
ESTADUAL - SE;ADAMANTINA;IRAPURU;3521606;IRAPURU;448370;35448370;CENTRO DE ATENDIMENTO SOC EDUC AO ADOLES IRAPURU I  CI;1;34;MUNICIPAL  IRV;3;KM 6;17880000;PATURY;2;-21,5206262;-51,31715115;30958
ESTADUAL - SE;ADAMANTINA;IRAPURU;3521606;IRAPURU;455064;35455064;PENITENCIARIA DE IRAPURU;1;15;MUNICIPAL IRAPURU;125;KM 35;17880000;PATURI;2;-21,54578582;-51,32294472;30958
ESTADUAL - SE;ADAMANTINA;JUNQUEIROPOLIS;3526001;JUNQUEIROPOLIS;31306;35031306;GERALDO PECORARI PROF;1;8;DUQUE DE CAXIAS;151;PRACA;17890000;CENTRO;1;-21,5152607;-51,43960953;0
ESTADUAL - SE;ADAMANTINA;JUNQUEIROPOLIS;3526001;JUNQUEIROPOLIS;31525;35031525;IDENE RODRIGUES DOS SANTOS PROF;1;8;AVENIDA CAMPOS SALLES;899;;17890000;CENTRO;1;-21,51210594;-51,42825317;0
ESTADUAL - SE;ADAMANTINA;JUNQUEIROPOLIS;3526001;JUNQUEIROPOLIS;454345;35454345;PENITENCIARIA DE JUNQUEIROPOLIS;1;15;ALMIRANTE JOAO RIBEIRO DE BARROS;SN;KM 6382 VICINAL ALCIDES CANOLA KM 2;17890000;;2;-21,47952461;-51,44407654;31525
ESTADUAL - SE;ADAMANTINA;LUCELIA;3527405;LUCELIA;30788;35030788;JOSE FIRPO;1;8;INTERNACIONAL;1270;RUA;17780000;CENTRO;1;-21,72732925;-51,01414108;0
ESTADUAL - SE;ADAMANTINA;LUCELIA;3527405;LUCELIA;453870;35453870;PENITENCIARIA DE LUCELIA;1;15;MILTOM LENTINI;SN;KM 12;17780000;RURAL;2;-21,61466026;-50,98077011;30788
ESTADUAL - SE;ADAMANTINA;LUCELIA;3527405;LUCELIA;578915;35578915;PROFESSOR CARLOS UMBERTO CARRARA;1;8;ANTONIO CHAVARELI;1077;AVENIDA;17780000;VILA RANCHARIA;1;-21,73122978;-51,01271057;0
ESTADUAL - SE;ADAMANTINA;MARIAPOLIS;3528908;MARIAPOLIS;30892;35030892;ELMOZA ANTONIO JOAO PROFA;1;8;RUY BARBOSA;134;RUA;17810000;CENTRO;1;-21,7944;-51,1867;0
ESTADUAL - SE;ADAMANTINA;MONTE CASTELO;3531605;MONTE CASTELO;31471;35031471;JOAO BERNARDI;1;8;CIRO ALVES LEAO;71;;17960000;CENTRO;1;-21,29660034;-51,56760025;0
ESTADUAL - SE;ADAMANTINA;NOVA GUATAPORANGA;3533106;NOVA GUATAPORANGA;31422;35031422;JACINTO PERNAS GOMATO;1;8;D PEDRO I;50;RUA;17950000;CENTRO;1;-21,33423996;-51,6482811;0
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;3534609;OSVALDO CRUZ;31574;35031574;BENJAMIN CONSTANT;1;8;MAX WIRTH;550;RUA;17700000;CENTRO;1;-21,79324913;-50,87559891;0
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;3534609;OSVALDO CRUZ;31616;35031616;OSVALDO MARTINS;1;8;RUA EXPEDICIONARIO OCTAVIO PONTELLI;39;RUA;17700126;VILA ANA;1;-21,80102158;-50,87059402;0
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;3534609;OSVALDO CRUZ;31636;35031636;DOM BOSCO;1;8;LUCAS NOGUEIRA GARCEZ;571;;17700000;CENTRO;1;-21,79635048;-50,87863922;0
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;3534609;OSVALDO CRUZ;454400;35454400;PENITENCIARIA COMPACTA DE OSVALDO CRUZ;1;15;ARMANDO SALLES;SN;KM 5725;17700000;CENTRO;2;-21,76641083;-50,90082169;922584
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;3534609;OSVALDO CRUZ;573139;35573139;PENITENCIARIA DE OSVALDO CRUZ SEMIABERTO;1;15;COMANDANTE JOAO RIBEIRO BARROS;SN;KM 572;17700000;VENDA BRANCA;2;-21,76641083;-50,90082169;922584
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;3534609;OSVALDO CRUZ;922584;35922584;MARIA APARECIDA LOPES PROFA;1;8;DIRCEU CAVALINI;100;RUA;17700000;RESIDENCIAL ATHENAS;1;-21,76594925;-50,90082932;0
